,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
0,70.0,2.0,3.0,50.0210479,19.8986757,141070.0,15.0,1.0,0.0,0,1,1,1,0,3900.0
1,34.0,2.0,2.0,51.8460206,16.5838408,58121.0,1.0,1.0,1.0,1,1,0,0,0,2000.0
2,70.0,3.0,3.0,50.0346626,19.9999881,141070.0,5.0,1.0,1.0,0,0,1,0,1,4300.0
3,42.0,1.0,2.0,51.7727629,19.4697438,120202.8,17.0,0.0,0.0,0,1,0,0,0,1850.0
4,51.0,10.0,2.0,50.778815,19.1364897,200317.0,15.0,0.0,0.0,1,1,0,0,0,1800.0
5,52.0,1.0,2.0,52.1044383,20.6350923,9601.666666666666,1.0,1.0,0.0,1,0,1,1,0,3000.0
6,51.0,1.0,3.0,51.7578283,19.4115513,120202.8,4.0,1.0,0.0,1,0,0,0,0,2500.0
7,89.42,2.0,2.0,52.160438,21.0783996,90327.38888888888,15.0,0.0,0.0,1,0,1,0,0,6500.0
8,35.0,2.0,2.0,52.2452495,20.9908202,90327.38888888888,58.0,1.0,0.0,1,1,0,0,0,2900.0
9,31.0,1.0,1.0,53.3196451,15.0368577,37441.0,8.0,1.0,0.0,1,1,0,0,0,1700.0
10,56.0,4.0,2.0,52.1704725,20.8118862,22394.0,10.0,0.0,1.0,1,0,1,0,0,2800.0
11,34.51,4.0,2.0,52.32382,17.56654,7466.8,4.0,1.0,0.0,1,1,1,0,0,1350.0
12,40.0,8.0,2.0,52.2197139,20.9428669,90327.38888888888,8.0,1.0,1.0,1,0,0,0,0,3000.0
13,45.0,3.0,2.0,52.2080751,20.8917829,90327.38888888888,3.0,1.0,0.0,1,0,1,0,0,3000.0
14,29.0,1.0,1.0,50.0569787,19.9603504,141070.0,5.0,1.0,0.0,1,1,1,0,0,2300.0
15,79.1,2.0,3.0,52.2685684,20.9415198,90327.38888888888,9.0,1.0,0.0,0,0,1,0,0,6000.0
16,34.0,6.0,2.0,52.23546349999999,21.0076736,90327.38888888888,3.0,1.0,0.0,1,0,0,0,0,3900.0
17,38.0,3.0,2.0,52.233624,20.963145,90327.38888888888,3.0,1.0,0.0,1,0,0,0,0,3500.0
18,65.0,4.0,3.0,52.4038632,16.8634582,93138.2,6.0,1.0,1.0,1,0,0,0,0,3500.0
19,55.0,2.0,3.0,52.4577084,16.8783662,93138.2,13.0,1.0,0.0,0,1,0,0,0,2500.0
20,49.0,1.0,2.0,50.8863198,20.6459905,7433.5,48.0,1.0,0.0,0,1,0,0,0,1500.0
21,43.0,2.0,2.0,50.7528856,16.2061313,5119.9,14.0,0.0,0.0,0,1,1,0,0,1200.0
22,57.0,2.0,2.0,52.2827917,20.9442826,90327.38888888888,66.0,1.0,0.0,0,1,0,0,0,2100.0
23,60.95,2.0,3.0,52.2293372,20.238359,10125.0,3.0,1.0,0.0,1,1,1,1,0,3000.0
24,30.0,3.0,1.0,50.0411867,21.9991196,185662.0,4.0,1.0,0.0,1,1,0,0,0,1500.0
25,64.0,3.0,3.0,51.1132425,17.0812736,115516.8,33.0,1.0,0.0,0,1,1,0,0,2700.0
26,40.0,2.0,2.0,52.1868279,21.0638192,90327.38888888888,49.0,1.0,0.0,0,1,1,0,0,2800.0
27,37.0,3.0,2.0,52.1799062,20.9478161,90327.38888888888,2.0,1.0,0.0,1,0,0,0,0,3000.0
