,Powierzchnia,Czynsz,Liczba pokoi,Kaucja,Piętro,Rodzaj zabudowy,Dostępne od,balkon,ogród,taras,Obsługa zdalna,Stan wykończenia,Typ ogłoszeniodawcy,Wynajmę również studentom,Wyposażenie,Media,Ogrzewanie,Zabezpieczenia,Okna,Winda,Miejsce parkingowe,Rok budowy,Materiał budynku,Informacje dodatkowe,is_adverb,link,localisation,price,room_count,space_sm,representative,lat,lng,powiat,Ludnosc
1,34.0,250.0,2.0,2500.0,2.0,apartamentowiec,,1,0,1,tak,do zamieszkania,biuro nieruchomości ,,,,miejskie,,plastikowe,tak,,2022.0,pustak,,False,/pl/oferta/nowe-balkon-winda-klimatyzacja-parking-ID4gKQd,"Niepodległości, Leszno, wielkopolskie",2000.0,2.0,34.0,Biuro nieruchomości,51.8460206,16.5838408,Leszno,58121.0
2,70.0,-1.0,3.0,5000.0,3.0,Rodzaj_zabudowy_inne,2022-07-01,1,0,1,,do zamieszkania,biuro nieruchomości ,,meble,,,,,nie,garaż/miejsce parkingowe,2018.0,Materiał_budynku_inne,,False,/pl/oferta/piekny-3-pokojowy-apartament-bagry-park-ID4h10A,"Kraków, Podgórze, Bagrowa",4300.0,3.0,70.0,Biuro nieruchomości,50.0346626,19.9999881,Kraków,141070.0
5,52.0,-1.0,2.0,-1.0,1.0,blok,,1,0,0,,,biuro nieruchomości ,,"zmywarka, lodówka",,miejskie,,plastikowe,tak,garaż/miejsce parkingowe,2022.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/mieszkanie-52-m-grodzisk-mazowiecki-ID4h10s,"Grodzisk Mazowiecki, mazowieckie",3000.0,2.0,52.0,Biuro nieruchomości,52.1044383,20.6350923,Grodziski,9601.666666666666
6,51.0,500.0,3.0,5000.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2019.0,wielka płyta,,False,/pl/oferta/mieszkanie-na-wynajem-od-lipca-2022-ID4c4Jk,"Łódź, Polesie",2500.0,3.0,51.0,Oferta prywatna,51.7578283,19.4115513,Łódź,120202.8
7,89.42,1000.0,2.0,12000.0,2.0,apartamentowiec,,0,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",internet,miejskie,"system alarmowy, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2008.0,Materiał_budynku_inne,"tylko dla niepalących, pom. użytkowe",False,/pl/oferta/sarmacka-miasteczko-wilanow-89-m2-od-sierpnia-ID4gxhY,"Warszawa, Wilanów, ul. Sarmacka",6500.0,2.0,89.42,Oferta prywatna,52.160438,21.0783996,Warszawa,90327.38888888889
8,35.0,-1.0,2.0,2900.0,2.0,blok,2022-06-02,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,domofon / wideofon,plastikowe,tak,,1965.0,inne,,False,/pl/oferta/zamieszkaj-i-poczuj-klimat-warszawy-ID4h104,"Warszawa, Wola, al. Jana Pawła II",2900.0,2.0,35.0,Biuro nieruchomości,52.2452495,20.9908202,Warszawa,90327.38888888889
9,31.0,400.0,1.0,2000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",telewizja kablowa,miejskie,domofon / wideofon,plastikowe,tak,,2015.0,silikat,oddzielna kuchnia,False,/pl/oferta/kawalerka-31m2-pyrzyckie-ul-mila-osobna-kuchnia-ID4gQQq,"os. Pyrzyckie, Stargard, zachodniopomorskie",1700.0,1.0,31.0,Oferta prywatna,53.3196451,15.0368577,Stargard,37441.0
10,56.0,500.0,2.0,6600.0,4.0,apartamentowiec,,0,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2013.0,Materiał_budynku_inne,,False,/pl/oferta/mieszkanie-w-wysokim-standardzie-przy-palacu-ID479qU,"Pruszków, pruszkowski, mazowieckie",2800.0,2.0,56.0,Oferta prywatna,52.1704725,20.8118862,Pruszkowski,22394.0
11,34.51,200.0,2.0,3000.0,4.0,apartamentowiec,2019-08-01,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka",,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,tak,,2019.0,Materiał_budynku_inne,pom. użytkowe,False,/pl/oferta/mieszkanie-2-pokojowe-z-komorka-lok-ul-pilska-ID422PH,"Września, wrzesiński, wielkopolskie",1350.0,2.0,34.51,Oferta prywatna,52.32382,17.56654,Wrzesiński,7466.8
12,40.0,500.0,2.0,4500.0,8.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2015.0,cegła,tylko dla niepalących,False,/pl/oferta/mieszkanie-2-pokojowe-wola-ul-ordona-ID4gVxU,"Warszawa, Wola, Odolany",3000.0,2.0,40.0,Oferta prywatna,52.2197139,20.9428669,Warszawa,90327.38888888889
13,45.0,600.0,2.0,7000.0,3.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2020.0,Materiał_budynku_inne,,False,/pl/oferta/nowe-i-przytulne-mieszkanie-2-pokojowe-waw-wlochy-ID4gIus,"Warszawa, Włochy, Nowe Włochy, Pola Karolińskie",3000.0,2.0,45.0,Oferta prywatna,52.2080751,20.8917829,Warszawa,90327.38888888889
14,29.0,-1.0,1.0,-1.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,internet,miejskie,monitoring / ochrona,plastikowe,tak,,2018.0,Materiał_budynku_inne,,False,/pl/oferta/studio-taras-przy-wisle-29m2-ID4h13A,"Kraków, Grzegórzki, Grzegórzecka",2300.0,1.0,29.0,Biuro nieruchomości,50.0569787,19.9603504,Kraków,141070.0
15,79.1,650.0,3.0,12000.0,2.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,nie,garaż/miejsce parkingowe,2014.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/mieszkanie-warszawa-bielany-niedzielskiego-79-m-ID4g7ll,"Warszawa, Bielany, ul. płk. Mieczysława Niedzielskiego",6000.0,3.0,79.1,Oferta prywatna,52.2685684,20.9415198,Warszawa,90327.38888888889
16,34.0,-1.0,2.0,6000.0,6.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2020.0,cegła,"piwnica, tylko dla niepalących, pom. użytkowe",False,/pl/oferta/apartament-w-mennica-residence-grzybowska-od-1-07-ID4fn1g,"Warszawa, Śródmieście, Śródmieście Północne",3900.0,2.0,34.0,Oferta prywatna,52.23546349999999,21.0076736,Warszawa,90327.38888888889
17,38.0,500.0,2.0,4000.0,3.0,apartamentowiec,2022-07-01,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2020.0,cegła,,False,/pl/oferta/bliska-wola-metro-plocka-ciche-ID44S4j,"Warszawa, Wola, ul. Syreny 4",3500.0,2.0,38.0,Oferta prywatna,52.233624,20.963145,Warszawa,90327.38888888889
18,65.0,800.0,3.0,-1.0,4.0,blok,2021-10-01,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",plastikowe,tak,garaż/miejsce parkingowe,2017.0,cegła,tylko dla niepalących,False,/pl/oferta/mieszkanie-w-wysokim-standardzie-i-garaz-marcelin-ID3wWS8,"Poznań, Grunwald, Marcelin, ul. Marcelińska 94",3500.0,3.0,65.0,Oferta prywatna,52.4038632,16.8634582,Poznań,93138.2
19,55.0,300.0,3.0,2500.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",gazowe,"teren zamknięty, domofon / wideofon",plastikowe,nie,,2010.0,cegła,pom. użytkowe,False,/pl/oferta/3-pokojowe-mieszkanie-na-podolanach-ID49BpI,"Poznań, Jeżyce, Podolany, ul. Strzeszyńska",2500.0,3.0,55.0,Oferta prywatna,52.4577084,16.8783662,Poznań,93138.2
20,49.0,400.0,2.0,2000.0,1.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"lodówka, piekarnik, kuchenka, pralka","telewizja kablowa, internet, telefon",miejskie,domofon / wideofon,plastikowe,nie,,1975.0,wielka płyta,oddzielna kuchnia,False,/pl/oferta/do-wynajecia-2-pokoje-bocianek-kielce-ID4h13k,"ul. Stanisława Wyspiańskiego, Kielce, świętokrzyskie",1500.0,2.0,49.0,Biuro nieruchomości,50.8863198,20.6459905,Kielecki,7433.5
22,57.0,634.0,2.0,2100.0,2.0,blok,,1,0,0,tak,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,domofon / wideofon,plastikowe,nie,,1957.0,cegła,"piwnica, oddzielna kuchnia",False,/pl/oferta/bezposrednio-2-pokoje-5-minut-od-stacji-metra-ID4h128,"Warszawa, Bielany, Stare Bielany, Skalbmierska 18",2100.0,2.0,57.0,Oferta prywatna,52.2827917,20.9442826,Warszawa,90327.38888888889
23,60.95,-1.0,3.0,3500.0,2.0,blok,,1,0,0,,,biuro nieruchomości ,,,,,monitoring / ochrona,plastikowe,tak,,2020.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/urzadzone-mieszkanie-w-nowym-bloku-blisko-pkp-ID4h136,"Sochaczew, mazowieckie",3000.0,3.0,60.95,Biuro nieruchomości,52.2293372,20.238359,Sochaczewski,10125.0
24,30.0,350.0,1.0,1850.0,3.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,domofon / wideofon,plastikowe,tak,,2019.0,pustak,,False,/pl/oferta/kawalerka-ID4gRYh,"Rzeszów, podkarpackie",1500.0,1.0,30.0,Oferta prywatna,50.0411867,21.9991196,Rzeszów,185662.0
25,64.0,-1.0,3.0,-1.0,3.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,domofon / wideofon,plastikowe,nie,,1990.0,Materiał_budynku_inne,"piwnica, oddzielna kuchnia",False,/pl/oferta/edyty-stein-ID4h11Y,"Wrocław, Śródmieście",2700.0,3.0,64.0,Biuro nieruchomości,51.1132425,17.0812736,Wrocław,115516.8
26,40.0,-1.0,2.0,2500.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,domofon / wideofon,plastikowe,nie,,1974.0,Materiał_budynku_inne,,False,/pl/oferta/dwupokojowe-na-sadybie-bezposrednio-ID4gUYC,"Warszawa, Mokotów, Dolny Mokotów, Sadyba",2800.0,2.0,40.0,Oferta prywatna,52.1868279,21.0638192,Warszawa,90327.38888888889
27,37.0,-1.0,2.0,3000.0,1.0,dom wolnostojący,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2021.0,żelbet,"tylko dla niepalących, pom. użytkowe",False,/pl/oferta/nowe-stylowe-2-pokojowe-ID4cNnR,"Warszawa, Włochy",3000.0,2.0,37.0,Oferta prywatna,52.1799062,20.9478161,Warszawa,90327.38888888889
31,34.0,250.0,2.0,2500.0,2.0,apartamentowiec,,1,0,1,tak,do zamieszkania,biuro nieruchomości ,,,,miejskie,,plastikowe,tak,,2022.0,pustak,,False,/pl/oferta/nowe-balkon-winda-klimatyzacja-parking-ID4gKQd,"Niepodległości, Leszno, wielkopolskie",2000.0,2.0,34.0,Biuro nieruchomości,51.8460206,16.5838408,Leszno,58121.0
32,70.0,-1.0,3.0,5000.0,3.0,Rodzaj_zabudowy_inne,2022-07-01,1,0,1,,do zamieszkania,biuro nieruchomości ,,meble,,,,,nie,garaż/miejsce parkingowe,2018.0,Materiał_budynku_inne,,False,/pl/oferta/piekny-3-pokojowy-apartament-bagry-park-ID4h10A,"Kraków, Podgórze, Bagrowa",4300.0,3.0,70.0,Biuro nieruchomości,50.0346626,19.9999881,Kraków,141070.0
33,52.0,-1.0,2.0,-1.0,1.0,blok,,1,0,0,,,biuro nieruchomości ,,"zmywarka, lodówka",,miejskie,,plastikowe,tak,garaż/miejsce parkingowe,2022.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/mieszkanie-52-m-grodzisk-mazowiecki-ID4h10s,"Grodzisk Mazowiecki, mazowieckie",3000.0,2.0,52.0,Biuro nieruchomości,52.1044383,20.6350923,Grodziski,9601.666666666666
34,89.42,1000.0,2.0,12000.0,2.0,apartamentowiec,,0,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",internet,miejskie,"system alarmowy, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2008.0,Materiał_budynku_inne,"tylko dla niepalących, pom. użytkowe",False,/pl/oferta/sarmacka-miasteczko-wilanow-89-m2-od-sierpnia-ID4gxhY,"Warszawa, Wilanów, ul. Sarmacka",6500.0,2.0,89.42,Oferta prywatna,52.160438,21.0783996,Warszawa,90327.38888888889
35,51.0,500.0,3.0,5000.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2019.0,wielka płyta,,False,/pl/oferta/mieszkanie-na-wynajem-od-lipca-2022-ID4c4Jk,"Łódź, Polesie",2500.0,3.0,51.0,Oferta prywatna,51.7578283,19.4115513,Łódź,120202.8
36,31.0,400.0,1.0,2000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",telewizja kablowa,miejskie,domofon / wideofon,plastikowe,tak,,2015.0,silikat,oddzielna kuchnia,False,/pl/oferta/kawalerka-31m2-pyrzyckie-ul-mila-osobna-kuchnia-ID4gQQq,"os. Pyrzyckie, Stargard, zachodniopomorskie",1700.0,1.0,31.0,Oferta prywatna,53.3196451,15.0368577,Stargard,37441.0
